DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,,,,28.4,0,0,0,0
2018-01-03,,,,28.4,0,0,0,0
2018-01-04,,,,28.4,0,0,0,0
2018-01-05,,,,28.4,0,0,0,0
2018-01-08,,,,28.4,0,0,0,0
2018-01-09,,,,28.4,0,0,0,0
2018-01-10,,,,28.4,0,0,0,0
2018-01-11,,,,28.4,0,0,0,0
2018-01-12,,,,28.4,0,0,0,0
2018-01-15,,,,28.4,0,0,0,0
2018-01-16,,,,28.4,0,0,0,0
2018-01-17,,,,28.4,0,0,0,0
2018-01-18,,,,28.4,0,0,0,0
2018-01-19,25.56,27.58,25.56,25.56,-10,16652778,430716482,4.7
2018-01-22,24.74,25.18,23.68,23.94,-6.34,12831599,311205014,3.62
2018-01-23,24.2,24.39,22.82,23.42,-2.17,11440300,269737613,2.98
2018-01-24,23.87,23.96,23.2,23.62,0.85,6203854,146139595,1.62
2018-01-25,23.69,23.82,23.33,23.67,0.21,5303613,125028105,1.38
2018-01-26,23.98,25.56,23.88,24.46,3.34,11932580,293485937,3.11
2018-01-29,24.02,24.18,23.13,23.68,-3.19,7509562,176887403,1.96
2018-01-30,23.59,23.78,21.99,22.21,-6.21,9406863,212744380,2.45
2018-01-31,21.34,22.25,20.74,20.98,-5.54,8898650,190048839,2.32
2018-02-01,22.01,22.73,19.35,19.75,-5.86,15576361,319389618,4.06
2018-02-02,19.51,20.11,18.9,19.13,-3.14,7449850,144235151,1.94
2018-02-05,18.73,19.47,18.6,18.73,-2.09,6144216,116761758,1.6
2018-02-06,18.4,18.54,16.86,16.86,-9.98,9611059,168187738,2.5
2018-02-07,17.3,17.45,15.17,17.34,2.85,18660153,302806821,4.86
2018-02-08,16.8,17.95,16.7,17.65,1.79,9477028,164117682,2.47
2018-02-09,17.63,18.5,17.11,18.29,3.63,10234016,184805195,2.67
2018-02-12,18.15,18.99,18.15,18.87,3.17,7662834,142417046,2
2018-02-13,18.98,19.5,18.77,19.18,1.64,4669711,89382353,1.22
2018-02-14,19.2,20.16,19.12,20.1,4.8,3948743,77459183,1.03
2018-02-22,20,20.17,19.75,19.92,-0.9,6041732,120448391,1.57
2018-02-23,19.99,20.3,18.9,19.33,-2.96,7076339,138098828,1.84
2018-02-26,19.3,19.3,18.79,19.15,-0.93,10317757,196286834,2.69
2018-02-27,18.99,21.07,18.99,21.07,10.03,14129046,284739915,3.68
2018-02-28,20.61,21.33,20.42,20.71,-1.71,8628878,179663942,2.25
2018-03-01,20.61,22.13,20.54,21.67,4.64,9112842,195606637,2.37
2018-03-02,21.45,22.8,21.31,22.64,4.48,9040155,200442275,2.36
2018-03-05,22.5,24.5,22.16,24.46,8.04,12161390,282968528,3.17
2018-03-06,24.58,24.58,23.17,23.38,-4.42,13584476,322322824,3.54
2018-03-07,23.27,23.98,23.18,23.52,0.6,7072556,167409276,1.84
2018-03-08,23.39,24.5,23.37,23.87,1.49,8198153,197111490,2.14
2018-03-09,24,24.55,23.27,24.29,1.76,8294090,199224642,2.16
2018-03-12,24.27,24.77,23.88,23.99,-1.24,8521525,206671920,2.22
2018-03-13,23.83,24.14,23.53,23.61,-1.58,6446832,153492572,1.68
2018-03-14,23.63,24.18,23.36,23.71,0.42,6320431,150663088,1.65
2018-03-15,23.63,23.83,22.41,22.78,-3.92,7883958,182378410,2.05
2018-03-16,23.05,24.99,23.05,24.31,6.72,13162698,320021531,3.43
2018-03-19,24.55,24.75,23.61,23.81,-2.06,10420793,252276677,2.72
