DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,9.47,9.63,9.43,9.5,0.32,10775615,102915898.02,1.27
2018-01-03,9.56,9.66,9.43,9.63,1.37,11568964,110865457.53,1.36
2018-01-04,9.53,9.6,9.36,9.39,-2.49,11294981,107005566.13,1.32
2018-01-05,9.38,9.68,9.31,9.51,1.28,13830978,132318540.42,1.62
2018-01-08,9.47,9.55,9.28,9.54,0.31,9274809,87333607.59,0.96
2018-01-09,9.48,9.92,9.37,9.88,3.56,20342747,198388803.94,2.11
2018-01-10,9.9,10.09,9.69,10.01,1.31,21131802,209718313.91,2.19
2018-01-11,9.96,10.58,9.87,10.45,4.39,27049572,279718191.5,2.8
2018-01-12,10.35,10.35,10.08,10.14,-2.96,15467841,158052837.94,1.6
2018-01-15,10.09,10.1,9.48,9.49,-6.4,20182214,196733391.68,2.09
2018-01-16,9.49,9.69,9.4,9.66,1.79,12669828,121538808.83,1.31
2018-01-17,9.69,9.72,9.37,9.54,-1.24,10418076,99428867.46,1.08
2018-01-18,9.53,9.58,9.24,9.34,-2.09,9154381,86290494.03,0.95
2018-01-19,9.31,9.46,9.23,9.29,-0.53,7034626,65854247.55,0.73
2018-01-22,9.29,9.42,9.08,9.35,0.64,7211012,67049705.81,0.75
2018-01-23,9.37,9.38,9.25,9.26,-0.96,4706164,43878578.72,0.49
2018-01-24,9.26,9.39,9.13,9.35,0.97,6465207,60242923.15,0.67
2018-01-25,9.34,9.57,9.27,9.44,0.96,9777286,92548677.18,1.01
2018-01-26,9.4,9.49,9.16,9.19,-2.64,9809396,91436382.09,1.02
2018-01-29,9.18,9.2,8.81,8.88,-3.37,9977290,89710288.73,1.03
2018-01-30,8.79,8.92,8.79,8.85,-0.34,2517721,22380506.5,0.26
2018-01-31,8.86,8.87,8.63,8.68,-1.92,4353200,37969054.13,0.45
2018-02-01,8.78,8.84,8.49,8.58,-1.15,4846796,42319265.72,0.5
2018-02-02,8.56,8.76,8.46,8.74,1.86,3823404,33135714.68,0.4
2018-02-05,8.68,8.9,8.6,8.8,0.68,3537100,31255483.64,0.37
2018-02-06,8.68,8.87,8.02,8.23,-6.46,6699025,57637703.33,0.69
2018-02-07,8.23,8.53,8.05,8.25,0.24,4385486,36400432.85,0.45
2018-02-08,8.28,8.47,8.25,8.43,2.18,3376765,28461315.76,0.35
2018-02-09,8.18,8.35,7.93,8.12,-3.67,5767928,46906929.46,0.6
2018-02-12,8.23,8.37,8.12,8.32,2.46,2895805,24016047.36,0.3
2018-02-13,8.39,8.48,8.32,8.32,0,2728662,22969815.06,0.28
2018-02-14,8.33,8.36,8.23,8.29,-0.36,1569900,13035318,0.16
2018-02-22,8.33,8.74,8.33,8.72,5.17,5292914,45580838.87,0.55
2018-02-23,8.68,8.7,8.55,8.61,-1.26,4305938,37149625.2,0.45
2018-02-26,8.65,8.93,8.64,8.85,2.78,6324240,55864072.27,0.65
2018-02-27,8.83,8.96,8.78,8.84,-0.11,5148215,45732399.05,0.53
2018-02-28,8.85,8.93,8.68,8.82,-0.23,4340010,38428039.66,0.45
2018-03-01,8.75,9.1,8.75,9.08,2.94,6753164,60747258.16,0.7
2018-03-02,9.06,9.26,8.98,9.1,0.22,8584715,78684920.93,0.89
2018-03-05,9.12,9.3,9.03,9.3,2.19,7268222,66818709.66,0.75
2018-03-06,9.31,9.48,9.23,9.26,-0.43,9301536,87128351.62,0.96
2018-03-07,9.24,9.28,9.07,9.08,-1.94,5745308,52742057.88,0.59
2018-03-08,9.04,9.14,9.01,9.07,-0.11,3624919,32950162.2,0.38
2018-03-09,9.06,9.36,9.05,9.36,3.19,7596847,70556728.72,0.79
2018-03-12,9.38,9.56,9.38,9.48,1.28,11072074,105100047.95,1.15
2018-03-13,9.49,9.55,9.38,9.39,-0.95,7140851,67672464.41,0.74
2018-03-14,9.37,9.41,9.04,9.07,-3.4,10234693,94448755,1.06
2018-03-15,9.07,9.13,8.8,9.02,-0.55,7176802,64488721.34,0.74
2018-03-16,9.03,9.06,8.92,8.93,-1,4643483,41817687.45,0.48
2018-03-19,8.96,9.07,8.8,8.93,0,4265449,38351215.82,0.44
2018-03-20,8.83,8.95,8.75,8.91,-0.22,5106827,45238387.01,0.53
2018-03-21,8.93,9.03,8.79,8.79,-1.34,4835821,43351917.88,0.5
2018-03-22,8.79,8.91,8.73,8.83,0.45,3827994,33861427.98,0.4
2018-03-23,8.49,8.58,8.18,8.24,-6.67,9234736,77450133.43,0.96
2018-03-26,8.12,8.4,7.99,8.38,1.69,4712100,38937707,0.49
2018-03-27,8.49,8.69,8.47,8.6,2.62,6425482,55205030.06,0.67
2018-03-28,8.47,8.72,8.42,8.62,0.23,6376955,55034218.57,0.66
2018-03-29,8.72,9.01,8.68,8.91,3.36,10690348,95397341.48,1.11
2018-03-30,8.92,9.15,8.82,9.15,2.69,9844300,89140773.26,1.02
2018-04-02,9.17,9.28,9.06,9.1,-0.55,12020788,110300572.02,1.24
2018-04-03,8.98,9.23,8.9,8.94,-1.75,12232742,110584390.49,1.27
2018-04-04,9.2,9.26,8.87,8.94,0,12414920,112957157.94,1.29
