DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,8.4,8.46,8.3,8.41,0.48,28681140,240062122.63,2.16
2018-01-03,8.41,8.93,8.41,8.67,3.09,60411968,525414094.18,4.55
2018-01-04,8.59,8.78,8.5,8.72,0.58,40209465,348184930.54,3.03
2018-01-05,8.72,8.74,8.62,8.63,-1.03,26210098,227066771.1,1.97
2018-01-08,8.64,8.68,8.37,8.43,-2.32,41548807,350619211.18,3.13
2018-01-09,8.4,8.69,8.31,8.54,1.3,34969034,297502277.65,2.63
2018-01-10,8.56,8.59,8.26,8.35,-2.22,32246203,271102145.09,2.43
2018-01-11,8.33,8.34,8.17,8.29,-0.72,29121152,240337873.04,2.19
2018-01-12,8.25,8.34,8.18,8.2,-1.09,23904780,196764144.4,1.8
2018-01-15,8.17,8.17,7.6,7.65,-6.71,53186355,416881712.1,4
2018-01-16,7.65,7.79,7.19,7.46,-2.48,55781372,417596593.8,4.2
2018-01-17,7.46,7.48,7.05,7.3,-2.14,41917898,304764789.91,3.16
2018-01-18,7.46,7.95,7.41,7.59,3.97,65662257,505667904.3,4.94
2018-01-19,7.55,7.65,7.43,7.43,-2.11,29981169,225641633.39,2.26
2018-01-22,7.39,7.49,7.23,7.44,0.13,25926539,191221806.66,1.95
2018-01-23,7.65,7.7,7.5,7.52,1.08,25507263,193047495.41,1.92
2018-01-24,7.47,7.56,7.36,7.47,-0.66,25694750,191668978.22,1.93
2018-01-25,7.48,7.53,7.41,7.48,0.13,25498986,190769702.37,1.92
2018-01-26,7.46,7.46,7.24,7.3,-2.41,28369433,208346223.15,2.14
2018-01-29,7.31,7.37,7.11,7.14,-2.19,25159078,181155375.66,1.89
2018-01-30,7.17,7.2,7.08,7.16,0.28,19152608,136619211.55,1.44
2018-01-31,7.14,7.14,6.7,6.7,-6.42,33453492,230934475.48,2.52
2018-02-01,6.7,6.8,6.06,6.28,-6.27,41482550,266113697.95,3.12
2018-02-02,6.27,6.48,6.05,6.43,2.39,30201125,191349496.16,2.27
2018-02-05,6.32,6.56,6.23,6.55,1.87,19408616,125323045.19,1.46
2018-02-06,6.41,6.61,6.36,6.42,-1.98,26092471,169027172.73,1.96
2018-02-07,6.52,6.64,6.22,6.46,0.62,21601393,139083528.34,1.63
2018-02-08,6.48,6.51,6.42,6.46,0,15133004,97892632.8,1.14
2018-02-09,6.32,6.39,6.11,6.18,-4.33,23958790,149495222.58,1.77
2018-02-12,6.19,6.8,6.19,6.8,10.03,54059652,356795692.74,4
2018-02-13,6.9,7.37,6.79,7.11,4.56,74223810,524954765.61,5.5
2018-02-14,7.1,7.33,6.99,7.29,2.53,45721216,329873138.82,3.39
2018-02-22,7.39,7.87,7.21,7.7,5.62,54800518,415049570.3,4.06
2018-02-23,7.62,7.63,7.42,7.54,-2.08,36181701,272478244.81,2.68
2018-02-26,7.56,8.16,7.55,8.01,6.23,75560817,598152902.89,5.6
2018-02-27,8.01,8.11,7.9,8.03,0.25,39918060,319422848.86,2.96
2018-02-28,7.99,8.18,7.52,7.81,-2.74,67018563,529582141.54,4.96
2018-03-01,7.7,7.99,7.62,7.91,1.28,40719251,318841000.45,3.02
2018-03-02,7.84,8.25,7.79,7.82,-1.14,46205703,369038193.26,3.42
2018-03-05,7.86,8.14,7.86,8.07,3.2,40968504,328065732,3.03
2018-03-06,8.2,8.56,8.2,8.46,4.83,77021552,646036183.33,5.7
2018-03-07,8.42,8.56,8.28,8.49,0.35,46816797,395110434.22,3.47
2018-03-08,8.43,8.53,8.02,8.27,-2.59,59180175,491875440.3,4.38
2018-03-09,8.23,8.46,8.14,8.36,1.09,39735991,332346154.27,2.94
2018-03-12,8.5,9.2,8.48,8.92,6.7,84728232,758828983.84,6.28
2018-03-13,9,9.01,8.72,8.78,-1.57,34717213,307659998.56,2.57
2018-03-14,8.78,8.99,8.71,8.72,-0.68,28454579,252191764.03,2.11
2018-03-15,8.65,8.7,8.47,8.62,-1.15,29991462,257408750.65,2.22
2018-03-16,8.61,8.8,8.51,8.59,-0.35,19544148,168653605.93,1.45
2018-03-19,8.4,8.61,8.25,8.26,-3.84,28183841,236984236.36,2.09
2018-03-20,8.2,8.25,8,8.22,-0.48,24486478,199847005.18,1.81
2018-03-21,8.34,8.55,8.22,8.24,0.24,25837671,217587742.55,1.91
2018-03-22,8.13,8.36,8.11,8.12,-1.46,17283432,141599424.47,1.28
2018-03-23,7.82,7.85,7.31,7.32,-9.85,44609264,334289941.9,3.3
2018-03-26,7.02,7.6,7.02,7.49,2.32,38150700,282342678,2.83
2018-03-27,7.78,7.95,7.72,7.83,4.54,27797140,217593805.44,2.06
2018-03-28,7.7,7.89,7.59,7.65,-2.3,17831504,137802698.04,1.32
2018-03-29,7.71,7.83,7.67,7.72,0.92,15796252,121818156.84,1.17
2018-03-30,7.75,7.9,7.45,7.55,-2.2,39316570,297956891.34,2.91
2018-04-02,7.54,7.54,7.17,7.21,-4.5,54937215,399016413.75,4.07
2018-04-03,7.05,7.06,6.68,6.85,-4.99,64194555,440653003.95,4.75
2018-04-04,6.96,7.06,6.79,6.86,0.15,26649092,184559223.74,1.97
2018-04-09,6.78,6.85,6.56,6.74,-1.75,28003817,188243633.4,2.07
2018-04-10,6.8,6.88,6.61,6.78,0.59,25168611,170036034.4,1.86
2018-04-11,6.87,6.92,6.78,6.81,0.44,25078352,171718800.69,1.86
2018-04-12,6.81,6.84,6.71,6.74,-1.03,15764625,106517105.58,1.17
2018-04-13,6.77,6.82,6.7,6.77,0.45,13561170,91739879.82,1
2018-04-16,6.76,6.88,6.66,6.78,0.15,18291649,123943627.98,1.35
2018-04-17,6.8,6.86,6.47,6.51,-3.98,27474394,182555114.06,2.04
2018-04-18,6.58,6.58,6.22,6.5,-0.15,26488732,169516504.7,1.96
2018-04-19,6.56,6.72,6.43,6.61,1.69,23803006,156341799.58,1.76
2018-04-20,6.56,6.56,6.29,6.3,-4.69,29149961,185973655.79,2.16
2018-04-23,6.3,6.34,5.99,6.1,-3.17,30210528,185446633.7,2.24
2018-04-24,6.15,6.27,6.09,6.2,1.64,26305226,163263462.28,1.95
2018-04-25,6.2,6.48,6.2,6.4,3.23,31757028,202223024.36,2.35
2018-04-26,6.41,6.44,6.1,6.1,-4.69,27826060,173681874.18,2.06
2018-04-27,6.18,6.22,6,6.03,-1.15,32332509,196561230.38,2.39
2018-05-02,6.26,6.63,6.2,6.63,9.95,72240286,470796930.99,5.35
2018-05-03,6.87,6.98,6.62,6.82,2.87,88564316,604678673.08,6.56
2018-05-04,6.72,6.86,6.66,6.77,-0.73,40452302,274804725.02,3
2018-05-07,6.85,7.14,6.83,6.85,1.18,61313161,426172875.3,4.54
2018-05-08,6.88,7.05,6.76,7.02,2.48,48232967,335925068.86,3.57
2018-05-09,7.02,7.03,6.86,6.89,-1.85,27486671,190008596.35,2.04
2018-05-10,6.9,6.98,6.68,6.9,0.15,41905429,285769435.09,3.1
2018-05-11,6.86,6.88,6.71,6.73,-2.46,24810898,168154441.77,1.84
2018-05-14,6.85,7.32,6.81,7.25,7.73,78454237,559233075.18,5.81
2018-05-15,7.13,7.21,6.93,7.07,-2.48,50992910,359329412.88,3.78
2018-05-16,7.06,7.07,6.85,6.92,-2.12,29194450,202438974.33,2.16
2018-05-17,6.89,7.02,6.85,6.89,-0.43,21415504,148039049.67,1.59
2018-05-18,6.86,6.98,6.81,6.88,-0.15,17500460,120480200.62,1.3
2018-05-21,7,7.16,6.96,6.98,1.45,35174348,247482296.19,2.61
2018-05-22,6.95,7.06,6.89,6.96,-0.29,22020451,152907317.65,1.63
2018-05-23,6.92,6.92,6.62,6.73,-3.3,41604501,280998255.92,3.08
2018-05-24,6.73,6.76,6.6,6.61,-1.78,19833120,132100147.12,1.47
2018-05-25,6.61,6.64,6.24,6.39,-3.33,33759053,215467822.11,2.5
2018-05-28,6.31,6.58,6.3,6.53,2.19,27968644,181060833.96,2.07
2018-05-29,6.5,6.65,6.41,6.48,-0.77,17465434,113845488.85,1.29
2018-05-30,6.3,6.48,6.19,6.25,-3.55,24679045,155442990.83,1.83
2018-05-31,6.31,6.38,6.22,6.25,0,26729102,168051278.07,1.98
2018-06-01,6.15,6.31,6.14,6.29,0.64,16727903,104767993.81,1.24
2018-06-04,6.33,6.56,6.3,6.5,3.34,26860809,172737583.34,1.99
2018-06-05,6.55,7.04,6.52,6.96,7.08,68370807,469735407.28,5.06
2018-06-06,6.96,7.11,6.78,6.86,-1.44,42725734,296095126.95,3.16
2018-06-07,6.96,7,6.75,6.78,-1.17,25068845,171085609.39,1.86
2018-06-08,6.8,6.84,6.61,6.65,-1.92,23937506,159764536.39,1.77
2018-06-11,6.66,6.87,6.58,6.74,1.35,24719213,166852859.14,1.83
2018-06-12,6.74,6.83,6.64,6.78,0.59,17550469,118111023.22,1.3
2018-06-13,6.8,6.81,6.45,6.47,-4.57,19458119,128482073.97,1.44
2018-06-14,6.43,6.59,6.32,6.48,0.15,14820078,96000819.12,1.1
2018-06-15,6.54,6.54,6.26,6.27,-3.24,25796574,163492828.27,1.91
2018-06-19,6.18,6.18,5.64,5.66,-9.73,47379218,276038095.48,3.51
