DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,7.85,7.9,7.83,7.89,0.64,15676061,123299598,0.73
2018-01-03,7.89,8.02,7.88,7.94,0.63,27145698,215378403,1.27
2018-01-04,8,8.13,7.97,8.03,1.13,31134550,250550231,1.46
2018-01-05,8.02,8.02,7.9,7.95,-1,22815803,181204092,1.07
2018-01-08,7.94,8.06,7.88,8.05,1.26,24157208,192923810,1.13
2018-01-09,8.03,8.14,8,8.06,0.12,23399762,189021073,1.09
2018-01-10,8.05,8.06,7.88,7.89,-2.11,23094934,183382780,1.08
2018-01-11,7.88,7.95,7.82,7.94,0.63,16019605,126322993,0.75
2018-01-12,7.92,7.93,7.84,7.85,-1.13,12325203,97177491,0.58
2018-01-15,7.85,7.85,7.55,7.58,-3.44,27619474,211725975,1.29
2018-01-16,7.55,7.65,7.2,7.36,-2.9,36543144,271880324,1.71
2018-01-17,7.36,7.5,7.22,7.37,0.14,22491239,165443101,1.05
2018-01-18,7.33,7.41,7.32,7.39,0.27,11588639,85393953,0.54
2018-01-19,7.36,7.81,7.36,7.66,3.65,49609183,378930990,2.32
2018-01-22,7.67,7.74,7.55,7.69,0.39,17786014,136146161,0.83
2018-01-23,7.67,7.71,7.54,7.64,-0.65,18318409,139569603,0.86
2018-01-24,7.64,7.7,7.59,7.66,0.26,22757578,173851670,1.06
2018-01-25,7.69,8.16,7.67,7.95,3.79,64301572,510714457,3.01
2018-01-26,7.95,8.15,7.9,8.05,1.26,42713736,344231493,2
2018-01-29,8.05,8.08,7.88,7.94,-1.37,23981905,191082769,1.12
2018-01-30,7.92,8.03,7.87,7.93,-0.13,13782000,109345873,0.64
2018-01-31,7.91,7.91,7.55,7.57,-4.54,25056325,192597708,1.17
2018-02-01,7.62,7.65,7.28,7.33,-3.17,23539461,175029137,1.1
2018-02-02,7.39,7.48,7.23,7.38,0.68,16777894,123963416,0.78
2018-02-05,7.25,7.48,7.25,7.4,0.27,13617244,100430516,0.64
2018-02-06,7.32,7.41,6.84,6.86,-7.3,32154721,229232228,1.5
2018-02-07,7.05,7.15,6.7,6.92,0.87,20626410,143380838,0.96
2018-02-08,6.9,7.19,6.87,7.1,2.6,20015586,142104616,0.94
2018-02-09,6.97,6.99,6.5,6.66,-6.2,29822680,201725400,1.39
2018-02-12,6.7,6.91,6.7,6.85,2.85,14551228,99395751,0.68
2018-02-13,6.9,7.07,6.9,6.91,0.88,15337900,106915745,0.72
2018-02-14,6.98,7,6.88,6.91,0,8485391,58758855,0.4
2018-02-22,6.96,7.09,6.93,7.05,2.03,12242676,85851500,0.51
2018-02-23,7.05,7.17,6.99,7.04,-0.14,19427421,137117600,0.81
2018-02-26,7.08,7.21,7.02,7.16,1.7,25907929,184641809,1.07
2018-02-27,7.18,7.57,7.13,7.38,3.07,51338881,377952110,2.13
2018-02-28,7.32,7.54,7.2,7.31,-0.95,43601085,321558149,1.81
2018-03-01,7.25,7.45,7.19,7.4,1.23,25921224,190771821,1.07
2018-03-02,7.33,7.53,7.3,7.49,1.22,29861849,222839421,1.24
2018-03-05,7.71,7.77,7.57,7.63,1.87,46353215,355602012,1.92
2018-03-06,7.58,7.71,7.54,7.63,0,29917732,227958489,1.24
2018-03-07,7.6,7.7,7.44,7.44,-2.49,27695621,209390587,1.15
2018-03-08,7.45,7.53,7.36,7.44,0,19650891,145853869,0.81
2018-03-09,7.46,7.65,7.39,7.58,1.88,25894559,195215827,1.07
2018-03-12,7.65,7.82,7.56,7.79,2.77,47287048,363377418,1.96
2018-03-13,7.82,7.82,7.61,7.62,-2.18,34641076,267272374,1.44
2018-03-14,7.58,7.59,7.43,7.45,-2.23,24346716,182675832,1.01
2018-03-15,7.42,7.65,7.4,7.51,0.81,19558483,146990154,0.81
2018-03-16,7.52,7.53,7.4,7.44,-0.93,16215613,120861686,0.67
2018-03-19,7.47,7.61,7.46,7.53,1.21,19739171,149234314,0.82
2018-03-20,7.46,7.64,7.4,7.54,0.13,18011356,135074208,0.75
2018-03-21,7.55,7.78,7.54,7.6,0.8,37096324,283687070,1.54
2018-03-22,7.6,7.69,7.5,7.6,0,23467931,178101207,0.97
2018-03-23,7.38,7.53,7.02,7.14,-6.05,43578817,318387026,1.81
2018-03-26,7.11,7.6,7.09,7.59,6.3,50129497,371748440,2.08
2018-03-27,7.61,7.79,7.53,7.75,2.11,46510023,357619463,1.93
2018-03-28,7.66,7.86,7.62,7.69,-0.77,42307671,328274193,1.75
