DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,12.09,12.2,11.91,12.13,0.5,18876446,228303760.06,2.93
2018-01-03,12.17,12.42,12,12.07,-0.49,23105211,282579124.24,3.59
2018-01-04,12.01,12.29,11.93,12.25,1.49,14606744,177364040.38,2.27
2018-01-05,12.24,12.28,11.94,12.02,-1.88,14358703,173412512.47,2.23
2018-01-08,11.97,12.39,11.85,12.25,1.91,20187785,246013068.18,3.13
2018-01-09,12.2,12.26,12,12.08,-1.39,10952504,132596079.31,1.7
2018-01-10,12.07,12.58,12.01,12.26,1.49,22843114,281049163.36,3.55
2018-01-11,12.12,12.43,12.12,12.17,-0.73,17799595,217796636.86,2.76
2018-01-12,12.14,12.16,11.89,12.07,-0.82,13756095,165256848.29,2.14
2018-01-15,12.07,12.07,11.49,11.49,-4.81,13616322,159251191.85,2.11
2018-01-16,11.49,12.39,11.45,12.26,6.7,22863382,275717339.35,3.55
2018-01-17,12.53,12.85,12.32,12.69,3.51,44416056,560191528.37,6.9
2018-01-18,12.49,12.66,12.33,12.53,-1.26,19066599,237992553.48,2.96
2018-01-19,12.37,12.57,12.28,12.38,-1.2,16152608,200529793.84,2.51
2018-01-22,12.3,12.98,12.15,12.96,4.68,29042490,366748476.34,4.51
2018-01-23,12.77,12.94,12.67,12.82,-1.08,21325417,272895443.95,3.31
2018-01-24,12.74,12.88,12.6,12.84,0.16,18514091,235660626.11,2.87
2018-01-25,12.9,13.19,12.53,12.54,-2.34,21587154,277988916.21,3.35
2018-01-26,12.6,13.04,12.49,12.82,2.23,19633883,252556793.57,3.05
2018-01-29,12.77,12.97,12.56,12.67,-1.17,14994080,191377770.28,2.33
2018-01-30,12.66,13.07,12.5,12.75,0.63,15129843,194140240.96,2.35
2018-01-31,12.55,12.59,12.12,12.37,-2.98,17827194,220688013.19,2.77
2018-02-01,12.35,12.57,11.75,12.08,-2.34,16057900,194401513.4,2.49
2018-02-02,12,12.58,11.42,12.48,3.31,17861040,217467306.13,2.77
2018-02-05,12.21,12.94,12.15,12.81,2.64,20316885,256665249.89,3.15
2018-02-06,12.37,12.77,11.91,12.04,-6.01,20451789,252430243.87,3.18
2018-02-07,12.44,12.58,11.9,12.09,0.42,13230205,162421262.87,2.05
2018-02-08,11.76,12,11.67,11.78,-2.56,12384604,146259953.8,1.92
2018-02-09,11.5,11.67,10.6,10.6,-10.02,18394427,202713566.46,2.86
2018-02-12,10.3,10.8,10.3,10.72,1.13,8704063,92447147.88,1.35
2018-02-13,10.84,10.89,10.61,10.62,-0.93,6530728,70261048.28,1.01
