DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,74.15,74.17,72.49,73.68,0.08,564383,42667693,1.29
2018-01-03,73.68,75.7,72.28,75.3,2.19,826957,62961515,1.9
2018-01-04,75.25,75.25,73.98,74.95,-0.46,700616,53829889,1.61
2018-01-05,74.7,76.38,74.07,75.82,1.17,708777,54683078,1.63
2018-01-08,75.33,75.71,74.44,75.32,-0.67,662347,51094421,1.52
2018-01-09,75.32,75.81,74.26,75.29,-0.04,557680,43090994,1.28
2018-01-10,74.93,75.68,74.19,74.49,-1.06,750459,57588382,1.72
2018-01-11,74.7,74.74,73.58,73.95,-0.73,612274,46739972,1.4
2018-01-12,74.3,74.3,72.96,73.97,0.03,564026,42688779,1.29
2018-01-15,73.27,76.78,73.27,75.34,1.85,753987,58462259,1.73
2018-01-16,75.58,77.22,75.02,75.99,0.86,884552,69256936,2.03
2018-01-17,76.14,76.14,73.99,74.97,-1.34,892411,68675300,2.05
2018-01-18,74.72,77.25,74.43,76.68,2.28,739755,57964102,1.7
2018-01-19,76.78,77.16,74.16,74.6,-2.71,818552,63274462,1.88
2018-01-22,71.45,73.25,70.44,70.75,-5.16,2409264,176869970,5.53
2018-01-23,69.88,70.77,68.23,69.66,-1.54,1622011,115906012,3.72
2018-01-24,68.86,70.81,68.08,70.6,1.35,1426668,101585852,3.27
2018-01-25,70.17,70.51,67.55,67.63,-4.21,1247480,88367488,2.86
2018-01-26,67.58,68.65,67.36,67.71,0.12,903293,63163152,2.07
2018-01-29,67.82,68.04,61.04,61.46,-9.23,2395710,155947400,5.49
2018-01-30,61.23,62.98,59.79,61.43,-0.05,1354800,86146598,3.11
2018-01-31,60.85,62.98,60.85,62.53,1.79,971676,62104589,2.23
2018-02-01,61.83,64.91,60.85,64.27,2.78,1229574,78956976,2.82
2018-02-02,63.66,64.59,62.21,63.37,-1.39,638234,41699336,1.46
2018-02-05,62.98,63.8,61.48,62.8,-0.9,457000,29534039,1.05
2018-02-06,60.31,61.9,58.97,59.01,-6.04,987003,61169649,2.26
2018-02-07,59.83,60.74,55,56.64,-4.02,1409247,83696832,3.23
2018-02-08,55.01,58.06,55.01,57.74,1.96,1110098,65453277,2.55
2018-02-09,55.76,58.32,55.4,56.41,-2.31,1193070,69923021,2.74
2018-02-12,56.37,61.22,55.5,60.38,7.03,1173676,71032125,2.69
2018-02-13,60.26,60.34,58.64,58.95,-2.37,1227019,74744441,2.81
2018-02-14,58.89,58.89,56.72,57.78,-1.98,999344,59108317,2.29
2018-02-22,58.2,60.45,56.89,60,3.84,1097199,66231944,2.52
2018-02-23,59.61,60.41,58.32,59.55,-0.75,1214651,73881322,2.79
2018-02-26,59.66,60.74,58.34,60.3,1.26,1267882,77687324,2.91
2018-02-27,60.05,60.69,58.64,58.74,-2.58,1194077,73127806,2.74
2018-02-28,57.32,58.46,56.37,58.31,-0.74,1290121,76339100,2.96
2018-03-01,57.82,58.3,57.41,58.01,-0.52,806114,47998770,1.85
2018-03-02,57.3,58.53,56.63,57.38,-1.07,1003793,59472689,2.3
2018-03-05,56.97,58.16,56.97,57.33,-0.1,723932,42781663,1.66
2018-03-06,57.25,57.71,56.28,57.47,0.25,1419558,83103478,3.26
2018-03-07,57.47,60.75,57.07,60.03,4.45,2236329,136682882,5.13
2018-03-08,60.26,63.15,60.26,62.71,4.47,3119562,197808736,7.16
2018-03-09,65.12,65.59,61.43,61.71,-1.6,2313936,149463487,5.31
2018-03-12,62.14,62.2,60.86,61.92,0.35,1750770,110886596,4.02
2018-03-13,62.01,62.77,61.37,61.89,-0.05,991040,63285423,2.27
2018-03-14,61.82,61.82,60.62,60.88,-1.63,772089,48490478,1.77
2018-03-15,60.75,61.68,60.37,61.43,0.89,793880,49902467,1.82
2018-03-16,61.6,62.08,60.9,61.2,-0.36,710593,44972939,1.63
2018-03-19,61.52,61.52,59.89,60.19,-1.65,1010054,62693133,2.32
2018-03-20,59.92,59.92,57.21,57.38,-4.67,2294948,136354906,5.26
2018-03-21,57.82,58.68,57.26,57.36,-0.03,1168825,69811876,2.68
2018-03-22,57.54,57.92,56.37,56.48,-1.54,1139004,66482908,2.61
2018-03-23,54.52,54.8,50.91,53.98,-4.42,1431500,78999578,3.28
2018-03-26,53.46,55.62,52.5,55.42,2.66,1143037,63293339,2.62
2018-03-27,56.36,56.71,54.49,55.44,0.04,945087,53910780,2.17
2018-03-28,54.38,54.9,52.99,53.18,-4.08,1000891,55491096,2.3
2018-03-29,53.5,53.94,52.24,53.78,1.13,1289006,70438376,2.96
2018-03-30,53.78,54.71,53.37,54.35,1.07,1257918,69948456,2.89
2018-04-02,54.23,54.61,53.37,53.47,-1.63,1121860,62259016,2.57
2018-04-03,52.97,53.85,52.5,53.31,-0.29,862193,47062791,1.98
2018-04-04,53.73,55.38,53.14,54.48,2.19,1373044,77135152,3.15
2018-04-09,54.43,55.16,53.12,54.9,0.77,1041675,58135947,2.39
2018-04-10,55.16,56.94,54.51,56.86,3.58,1583643,91058772,3.63
2018-04-11,58.12,58.17,56.13,56.97,0.19,2110341,124224600,4.84
2018-04-12,57.44,57.44,55.7,55.95,-1.79,1021166,59042404,2.34
2018-04-13,56.13,56.39,53.99,54.31,-2.92,1524892,85842628,3.5
2018-04-16,54.24,54.67,53.02,53.42,-1.65,1092975,60431877,2.51
2018-04-17,53.57,54.21,52.37,52.78,-1.2,893600,48980684,2.05
2018-04-18,52.82,53.46,51.47,52.7,-0.15,820352,44182091,1.88
2018-04-19,52.7,53.89,52.22,53.57,1.66,920927,50546212,2.11
2018-04-20,53.77,54.82,52.87,53.71,0.25,931795,51722480,2.14
2018-04-23,53.94,55.4,53.24,55.35,3.06,1293858,72789883,2.97
2018-04-24,55.68,56.08,55,55.96,1.09,1292244,73973843,2.96
2018-04-25,55.4,55.93,55.14,55.89,-0.12,860015,49135230,1.97
2018-04-26,50.3,51.03,50.3,50.3,-10,2249486,116510387,5.16
2018-04-27,48.55,48.71,46.66,48.6,-3.38,2697513,132105169,6.19
2018-05-02,47.46,49.69,47.43,49.43,1.72,1423201,70730790,3.26
2018-05-03,49.08,49.16,47.77,48.71,-1.46,742724,37008771,1.7
2018-05-04,48.27,49.27,48.12,48.62,-0.2,605881,30478360,1.39
2018-05-07,48.59,51,48.59,50.95,4.8,1484423,76927227,3.4
2018-05-08,51.47,52.24,50.62,52.07,2.19,892872,47482436,2.05
2018-05-09,52.05,52.76,51.51,52.69,1.19,767713,41125705,1.76
2018-05-10,52.76,53.22,52.08,52.54,-0.28,504300,27238371,1.16
2018-05-11,52.61,54.15,52.39,52.48,-0.13,586976,32045613,1.35
2018-05-14,52.63,53.44,51.8,52.59,0.22,614709,33157226,1.41
2018-05-15,52.85,53.94,52.64,53.23,1.22,626101,34388891,1.44
2018-05-16,53.21,55.11,53.2,54.46,2.3,928202,51744852,2.13
2018-05-17,53.77,53.8,51.65,51.98,-4.55,1268155,66671974,2.91
2018-05-18,52.64,53.45,51.89,53.3,2.54,706143,37247586,1.62
2018-05-21,53.36,54.5,52.78,53.39,0.17,543082,28934009,1.25
2018-05-22,53.39,53.94,52.58,52.77,-1.16,536400,28489403,1.23
2018-05-23,52.9,53.89,52.31,52.35,-0.8,564199,29834271,1.29
2018-05-24,52.94,52.94,51.43,51.93,-0.8,669500,34730507,1.54
2018-05-25,52,52.22,51.04,51.94,0.02,608700,31335329,1.4
2018-05-28,51.89,52.3,50.77,51.03,-1.75,1036614,53282697,2.38
2018-05-29,51.09,52.1,50.83,51.55,1.02,723879,37308729,1.66
2018-05-30,50.8,51,49,49.86,-3.28,821500,41043601,1.88
2018-05-31,50.38,51.81,49.5,51.7,3.69,778826,39426197,1.79
2018-06-01,51.3,51.71,50.58,51.4,-0.58,531600,27230269,1.22
2018-06-04,51.46,53.54,51.4,52.6,2.33,1314294,69190355,3.01
2018-06-05,52.1,53.14,52.03,52.77,0.32,1022828,53790090,2.35
2018-06-06,52.7,53.46,52.18,53.17,0.76,790708,41858579,1.81
2018-06-07,52.72,53.76,52.7,53.01,-0.3,547206,29096406,1.26
2018-06-08,52.98,52.98,50.21,51.61,-2.64,1008835,51666215,2.31
2018-06-11,51.11,52.2,51.11,51.73,0.23,543860,28107506,1.25
2018-06-12,51.36,52.87,50.82,52.62,1.72,717941,37427257,1.65
2018-06-13,52.6,52.77,51.39,51.45,-2.22,467002,24204614,1.07
2018-06-14,51.04,51.85,50,50.06,-2.7,505100,25645608,1.16
2018-06-15,50.06,50.9,49.52,50.71,1.3,718294,35941210,1.65
2018-06-19,49.92,50.42,48.28,48.97,-3.43,682047,33530053,1.56
2018-06-20,48.96,50.83,48.32,49.88,1.86,407461,20139127,0.93
2018-06-21,50.04,50.31,48,48.16,-3.45,411498,20207085,0.94
2018-06-22,48.4,48.9,47.55,48.85,1.43,490280,23559415,1.12
2018-06-25,49,49.46,48.4,48.76,-0.18,269774,13140731,0.62
2018-06-26,48.3,48.67,47.7,48.29,-0.96,278300,13406531,0.64
2018-06-27,48.66,48.85,46.23,46.38,-3.96,532808,25176465,1.22
2018-06-28,46.22,47.35,45.71,46.82,0.95,527916,24662342,1.21
2018-06-29,46.89,48.52,46.5,48.37,3.31,513792,24454632,1.18
2018-07-02,48.7,48.72,44.53,46.77,-3.31,781016,36153899,1.79
2018-07-03,46.47,48.4,45.51,48.16,2.97,956667,45159673,2.19
2018-07-04,48,48.18,47.06,47.11,-2.18,307252,14649376,0.7
2018-07-05,47.5,48.38,45.54,45.95,-2.46,479323,22456518,1.1
2018-07-06,45.82,48.5,45.82,47.79,4,664749,31511389,1.52
2018-07-09,48.18,48.64,47.55,48.45,1.38,321932,15473689,0.74
2018-07-10,48.45,48.6,47.86,48.09,-0.74,307392,14804714,0.7
2018-07-11,47.8,48.45,46.6,48.31,0.46,490990,23115362,1.13
2018-07-12,48.49,50.7,47.82,50.05,3.6,1247046,62366940,2.86
2018-07-13,50.1,51,49.56,50.16,0.22,484104,24344755,1.11
