证券代码,买卖数量,买卖日期,买卖价格,证券类型,买卖方向,说明,,,,,
CNY,20000000,2018/7/17,1,,划入,,,,,,
000977.SZ,39300,2018/7/17,25.440,股票,买入,*买入扣减现金,19982015,,,,
002049.SZ,21700,2018/7/17,46.000,股票,买入,*买入扣减现金,,,,,
002078.SZ,111100,2018/7/17,9.000,股票,买入,*买入扣减现金,,,,,
002709.SZ,26700,2018/7/17,37.410,股票,买入,*买入扣减现金,,,,,
002831.SZ,18100,2018/7/17,55.190,股票,买入,*买入扣减现金,,,,,
603658.SH,12000,2018/7/17,82.800,股票,买入,*买入扣减现金,,,,,
600801.SH,59200,2018/7/17,16.890,股票,买入,*买入扣减现金,,,,,
300253.SZ,77200,2018/7/17,12.950,股票,买入,*买入扣减现金,,,,,
000066.SZ,137700,2018/7/17,7.260,股票,买入,*买入扣减现金,,,,,
600380.SH,80900,2018/7/17,12.360,股票,买入,*买入扣减现金,,,,,
600282.SH,215500,2018/7/17,4.640,股票,买入,*买入扣减现金,,,,,
000727.SZ,561700,2018/7/17,1.780,股票,买入,*买入扣减现金,,,,,
300058.SZ,195300,2018/7/17,5.120,股票,买入,*买入扣减现金,,,,,
600060.SH,84300,2018/7/17,11.850,股票,买入,*买入扣减现金,,,,,
000830.SZ,55500,2018/7/17,18.000,股票,买入,*买入扣减现金,,,,,
600536.SH,38400,2018/7/17,26.010,股票,买入,*买入扣减现金,,,,,
600655.SH,108800,2018/7/17,9.190,股票,买入,*买入扣减现金,,,,,
002371.SZ,18600,2018/7/17,53.700,股票,买入,*买入扣减现金,,,,,
000636.SZ,42900,2018/7/17,23.300,股票,买入,*买入扣减现金,,,,,
000661.SZ,4000,2018/7/17,249.700,股票,买入,*买入扣减现金,,,,,
603019.SH,19500,2018/7/17,52.37,股票,卖出,*卖出增加现金,20207909,,,,
002340.SZ,162300,2018/7/17,6.12,股票,卖出,*卖出增加现金,,,,,
600380.SH,82100,2018/7/17,12.38,股票,卖出,*卖出增加现金,,,,,
300253.SZ,77200,2018/7/17,12.97,股票,卖出,*卖出增加现金,,,,,
600256.SH,232000,2018/7/17,4.27,股票,卖出,*卖出增加现金,,,,,
002049.SZ,21400,2018/7/17,47.78,股票,卖出,*卖出增加现金,,,,,
300166.SZ,68400,2018/7/17,15.01,股票,卖出,*卖出增加现金,,,,,
600282.SH,215000,2018/7/17,4.62,股票,卖出,*卖出增加现金,,,,,
300383.SZ,69500,2018/7/17,14.62,股票,卖出,*卖出增加现金,,,,,
000066.SZ,143800,2018/7/17,7.41,股票,卖出,*卖出增加现金,,,,,
600760.SH,26400,2018/7/17,38.57,股票,卖出,*卖出增加现金,,,,,
601717.SH,186500,2018/7/17,5.52,股票,卖出,*卖出增加现金,,,,,
000830.SZ,54400,2018/7/17,17.92,股票,卖出,*卖出增加现金,,,,,
603444.SH,7700,2018/7/17,127.6,股票,卖出,*卖出增加现金,,,,,
603658.SH,12000,2018/7/17,81.9,股票,卖出,*卖出增加现金,,,,,
600060.SH,82900,2018/7/17,11.92,股票,卖出,*卖出增加现金,,,,,
600536.SH,39300,2018/7/17,26.31,股票,卖出,*卖出增加现金,,,,,
002371.SZ,18500,2018/7/17,53.85,股票,卖出,*卖出增加现金,,,,,
000661.SZ,4000,2018/7/17,250.5,股票,卖出,*卖出增加现金,,,,,
000636.SZ,43500,2018/7/17,24.2,股票,卖出,*卖出增加现金,,,,,
