证券代码,买卖数量,买卖日期,买卖价格,证券类型,买卖方向,说明,,,,,
CNY,20000000,2018/7/16,1,,划入,,,,,,
603019.SH,19500,2018/7/16,51.12,股票,买入,*买入扣减现金,19973361,,,,
002340.SZ,162300,2018/7/16,6.16,股票,买入,*买入扣减现金,,,,,
600380.SH,82100,2018/7/16,12.18,股票,买入,*买入扣减现金,,,,,
300253.SZ,77200,2018/7/16,12.95,股票,买入,*买入扣减现金,,,,,
600256.SH,232000,2018/7/16,4.31,股票,买入,*买入扣减现金,,,,,
002049.SZ,21400,2018/7/16,46.61,股票,买入,*买入扣减现金,,,,,
300166.SZ,68400,2018/7/16,14.6,股票,买入,*买入扣减现金,,,,,
600282.SH,215000,2018/7/16,4.65,股票,买入,*买入扣减现金,,,,,
300383.SZ,69500,2018/7/16,14.38,股票,买入,*买入扣减现金,,,,,
000066.SZ,143800,2018/7/16,6.95,股票,买入,*买入扣减现金,,,,,
600760.SH,26400,2018/7/16,37.75,股票,买入,*买入扣减现金,,,,,
601717.SH,186500,2018/7/16,5.36,股票,买入,*买入扣减现金,,,,,
000830.SZ,54400,2018/7/16,18.38,股票,买入,*买入扣减现金,,,,,
603444.SH,7700,2018/7/16,129.5,股票,买入,*买入扣减现金,,,,,
603658.SH,12000,2018/7/16,83.01,股票,买入,*买入扣减现金,,,,,
600060.SH,82900,2018/7/16,12.06,股票,买入,*买入扣减现金,,,,,
600536.SH,39300,2018/7/16,25.4,股票,买入,*买入扣减现金,,,,,
002371.SZ,18500,2018/7/16,54.01,股票,买入,*买入扣减现金,,,,,
000661.SZ,4000,2018/7/16,249.5,股票,买入,*买入扣减现金,,,,,
000636.SZ,43500,2018/7/16,22.94,股票,买入,*买入扣减现金,,,,,
