symbol,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_117,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_136,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_143,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_149,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191,Col_sum
000156.XSHE,,,,0.05984461505521072,,0.4275862068965516,0.4713258853570171,0.3852941176470589,0.06545149072927056,0.4768608152580078,,0.003875587085755575,0.9371932515338199,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5157255591469521,0.1824979667248552,0.4997883198351449,,0.5088162346799574,0.3171978042343598,0.28469222254374305,0.09367250630505776,,0.35571482187275105,,0.6304833115764596,0.5721273876850285,,,0.055362311329038336,,,,0.033274384698629984,,,,0.3172227119199357,0.6013637291480931,0.8225252016350607,,,,,,,0.6804123711340205,7.049727787925348e-17,1.0,0.10861798168083404,,0.4760479041916171,,,,0.080014606418993,,0.6644686786710731,0.29410770141177506,0.2869060644677737,0.9631992180964359,,0.0,0.3943563070231248,0.7269876208434555,,,0.0,,,0.2304313164437509,0.1765097548683618,,0.003153242274719185,0.6814924443988383,,,,,,0.3592770290102178,0.8139170775518421,,,,,,0.0,0.1066925701944631,0.0,0.6641294005708845,0.6169590643274854,0.0,,0.10136332080926737,,,,0.8364831552999179,0.9444932047343788,0.5186400906799181,0.0408509930290572,,0.3719266461051446,,,,,0.4860190474856314,0.2204741379310345,,,0.03254044377011316,,0.253514068120531,0.0,0.5138807148496409,,0.061351993002624026,0.022051069926258996,0.7567567567567568,,,0.0062813122878845,0.0,,0.18126815392454332,0.09583719156264528,,0.0,,,,0.030581039755351713,,,,,0.0980687475322347,,,0.5990228599654882,0.0,0.6293758845117571,0.9248400895447396,0.059635353555376365,0.0,0.3361246424758092,,0.522975550546211,0.0,,0.0213550400636406,0.0,0.9012566321656388,0.4666666666666666,0.014452350173029769,,0.483449527751075,,,0.974461465250402,,,,0.07133411889557567,0.020275338587165875,0.0,,,0.4581918001573959,,0.9999999931926684,0.4140096060296141,0.15021579202149055,,0.2434752398061213,0.4785100286532952,,0.0,0.0,3.0007083685099397e-15,,,33.74354928174768
600614.XSHG,,,,0.052258893341082184,,0.5258620689655172,0.5061853556802329,0.475,0.05664169139278466,0.4738808694494432,,0.007578743390153382,0.9450114498925613,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5140592149699403,0.2435276150213845,0.5000200500817725,,0.4984655429078223,0.4545460014335432,0.3517980744530713,0.09367250630505776,,0.3557148218727538,,0.6223727609086911,0.5721273876850258,,,0.055990595398818864,,,,0.033274384698629984,,,,0.1964944577486213,0.6013637291480992,0.5839445836106614,,,,,,,0.7195876288659793,6.647804880974075e-17,1.0,0.23207234080608,,0.4328784291881355,,,,0.1361461373734511,0.11512451696006876,0.6644686786710826,0.2941077014117682,0.4271816303577731,0.958090845745452,,0.0,0.3943563070231133,0.4897069177536935,,0.2736842105263158,,,,0.2304313164437509,0.2807470802742397,,0.007537998843824924,0.44200848950502414,,,,,,0.3592770290102178,0.8037619891507609,,,,,,0.0,0.2347366547256493,0.0,0.6641294005708845,0.6871345029239767,0.0,0.0,0.1131806265906243,,,,0.8364831552999179,0.945439910597384,0.6277239705708071,0.041107421008337336,,0.3692711193314031,,,,0.0,,0.2204741379310345,,,0.02395641060332248,,0.2624832974906097,,0.5138807148496409,,0.05360489816318882,0.10959628020820852,0.6447631563910634,,,0.004969862390537928,0.0,,0.18126815392454332,0.10288525731241893,,0.0,,,,,,,,,0.11374836791036533,0.4762489513269937,,0.2041211492937108,0.0,0.635063937674533,0.9201929860505208,0.0520234725242684,1.0,0.3471228195959038,,0.5689266516386337,0.0,,0.019277474743618832,0.0,0.9364660408774708,0.490909090909091,0.005642756899194149,,0.4834495277510749,,,0.9722597167744972,,,,0.06324485951710851,0.01894570105932519,0.0,,,0.4581918001573959,,0.9999999931926684,0.4140096060267481,0.13330697011638434,,0.30996847778192044,0.498567335243553,,0.0,0.0,5.626328190956136e-15,,,35.195699081909076
000547.XSHE,0.0,,,0.056357630073716025,,0.4931034482758619,0.4954345123239201,0.4558823529411765,0.05718598093040213,0.4724292101341282,,0.0672356882451473,0.9407871007793704,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5069299727148197,0.5343257418184693,0.5008454353580293,,0.4978304251381498,,0.6189166216447534,0.09367250630505776,,0.35571482187274583,,0.6329164767767902,0.5721273876850338,,,0.05587540998602576,,,,0.033274384698629984,,,,0.3061304086679095,0.6013637291480962,0.39469552461453,,,,,,,,6.607612590278947e-17,,0.7227635503247318,,0.4562038713271136,,,,0.4275821446723494,,0.6644686786710617,0.2941077014117862,0.5626173764182502,0.9616421769438293,,0.0,0.3943563070231175,0.36246896656617256,,0.1028702498295208,,,,0.2330378783240023,0.5006786231629679,,0.0022735938687802933,0.3466733149380951,,,,,,0.3592770290102178,0.7862227956377006,,,,,,0.0,0.7432948561885587,0.0,0.6460513796384392,0.6900584795321637,0.0,1.0,0.09343477757347833,,0.0,,0.8364831552999179,0.8803673723728157,0.978343836333583,0.013424263131423692,,0.30251960265937633,,,,,0.4860190474856314,0.2204741379310345,,,0.0068273626023174225,0.6482645203354171,0.32030439022393664,,0.5138807148496409,0.006404838975438373,0.057790828439335265,0.10349852428042043,0.5068401735068403,,,0.03252706997791305,1.0931205322653388e-16,,0.18126815392454332,0.12287232005859534,,0.0,,,,,,,,,0.1411720221672025,,0.0,0.1883081175329142,0.0,0.6447688913887824,0.9074109115015864,0.0561363437265606,0.0,0.34861697126973296,,0.5949367088607593,0.0,,0.005707881483884665,0.0,0.9716464468936672,0.5045454545454545,0.011476612912221809,,0.4834495277510752,,,0.9683316875177032,,,,0.06888272752441925,0.007339919472057395,0.0,,,0.4581918001573959,,0.9999999931926684,0.41400960602483744,0.14244318840382098,,0.2572238416432227,0.5114613180515759,,0.0,0.0,2.2505312763824548e-15,,,35.45325122329897
000031.XSHE,,,,0.03904505551647138,,0.5206896551724136,0.4511833726231167,0.5029411764705883,0.035940720954193636,0.5430146525460612,,0.0794659572371662,0.958630247033594,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5064291276289632,0.3311072471603141,0.500848871658683,,0.4818446000983416,0.24869481151802095,0.7198141175574151,0.09367250630505776,,0.35571482187275033,,0.6896903314511709,0.5721273876850292,,,0.056137195015100984,,,,0.033274384698629984,,,,0.19283602580403594,0.6013637291480942,0.20131014872278505,,,,,,,,7.126093140246091e-17,0.0,0.9081722424302772,,0.3576799888594905,,,,0.7496414086506977,,0.6644686786710731,0.2941077014117757,0.6550996735624184,0.984463031600456,,0.0,0.39435630702311897,0.21154614576547706,,0.1473684210526316,,,,0.2304313164437509,0.7046804690343251,,0.0,0.22227540169219911,,,,,,0.3592770290102178,0.7830378153747057,,,,,,0.0,0.9354868212805291,0.0,0.6641294005708845,0.6695906432748537,0.0,1.0,0.1811287707681184,,,,0.8364831552999179,0.8795872216353035,0.999822571612927,0.0,,0.2314308216390481,,,,0.0,,0.2204741379310345,,,0.005224562659455724,0.6382539924358029,0.3232456245094781,,0.5138807148496409,,0.040109958765462965,0.3911272797466061,0.5281531531531533,,,0.0382589021171147,0.0,,0.18126815392454332,0.12567949441147042,,0.0,,,,,,,,,0.14351951227664952,,,0.4781875611210678,0.0,0.6464827435246877,0.9053798611913352,0.038764066857176836,0.0,0.3328791955385053,,0.5593896306571874,0.0,,0.0,0.0,0.9874035944563102,0.5015151515151515,0.05593839393233967,,0.4834495277510751,,,0.967661741195568,,,,0.04926697282599198,0.0,0.0,,,0.4581918001573959,,0.9999999931926684,0.41400960602483744,0.10385289324942552,,0.3329661390367081,0.4957020057306592,,0.0,0.0,1.8754427303187115e-15,,,36.19623996297485
300383.XSHE,,,,0.07079497140060557,,0.4810344827586207,0.4542827349254237,0.4514705882352942,0.07611177045734066,0.5839360869888248,,0.03631515420238447,0.9259073039030568,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.507404022765539,0.4677503723577222,0.5008257433077881,,0.4943330029460361,0.2412653373043244,0.4017864381601067,0.09367250630505776,,0.35571482187275105,,0.6710360649153029,0.5721273876850285,,,0.05570786756741763,,,,0.033274384698629984,,,,0.12874716257010693,0.6013637291480962,0.5340426451123172,,,0.0,0.0,,,0.8226804123711342,6.137362789145955e-17,,0.3237673511099418,,0.5383651302047071,,,,0.364388228850267,,0.6644686786710731,0.2941077014117745,0.5504293624300747,0.9325251540425471,,0.0,0.3943563070231203,0.43259186575160863,,0.02280701754385965,,,,0.23679132743156436,0.49130512137963706,,0.004638685781315888,0.3892516120990482,,,,,,0.3592770290102178,0.7894437645132345,,,,,,0.0,0.3297017187473385,0.0,0.6565176022835392,0.6900584795321637,0.0,0.0,0.09139168100678424,,0.0,,0.8364831552999179,0.9063395041661778,0.9767034568174396,0.01557475039367494,0.0,0.4150838415160423,,,,,0.4860190474856314,0.2204741379310345,,0.6683161995306798,0.006116558045972311,0.4821981100359707,0.3164768935617188,0.0,0.5138807148496409,,0.07253529926277646,0.010577521223086342,0.5145945945945946,,,0.05090412828386216,0.0,,0.18126815392454332,0.1214665985241246,,0.0,0.5978822744705689,,,0.9159021406727827,,,,,0.1416494643409601,,,0.16581980232079085,0.0,0.6429235307897101,0.908953755811418,0.07062347214060499,0.0,0.36011982037026,,0.5515866134905498,0.0,,0.012406541611920549,0.0,0.9706676784033,0.490909090909091,0.0042443783956194825,,0.4834495277510751,,,0.9690676304373046,,,,0.08483142735508299,0.015582308873945731,0.0,,,0.4581918001573959,,0.9999999931926684,0.41400960602483744,0.17462449461031285,,0.2604735111683557,0.504297994269341,,0.0,0.0,3.750885460637423e-15,,,36.566960751491656
000766.XSHE,,,,0.07330315358027709,,0.4534482758620689,0.4782844104972794,0.4485294117647059,0.07300074197172778,0.4185587796966775,,0.023364370873977733,0.9233222544457309,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5068799206274596,0.3991226411341193,0.500846003660116,,0.5008491441726949,0.24957928579446434,0.5758331534856928,0.09367250630505776,,0.3557148218727535,0.8372795445077071,0.6888792763843941,0.5721273876850258,,,0.055686924765091614,,,,0.033274384698629984,,,,,0.6013637291480962,0.4409252896695744,,,,,,,0.7525773195876289,7.703857318988546e-17,,0.6435896337095282,,0.5526389082300517,,,,0.5138692500209495,,0.6644686786710671,0.2941077014117813,0.5232517314911846,0.9415793698725112,,0.0,0.3943563070231128,0.42469588622598936,,0.0,,,,0.5501055529364803,0.5243066441713025,,0.0008496110369597677,0.4080735205130657,,,,,,0.3592770290102178,0.7867105270063136,,,,,,0.0,0.661222263834055,0.0,0.6522359657469073,0.7485380116959065,0.0,1.0,0.08883241928796849,,,,0.8364831552999179,0.9239609959305404,0.6959512847777848,0.023059923283925487,,0.35261527959523514,,,,0.0,,0.2204741379310345,,,0.015295153653307818,,0.3211330764455948,,0.5138807148496409,0.01823892675785215,0.07509683868549295,0.0,0.6306306306306306,,0.01522365362792136,0.1330603889457523,3.243812961600396e-17,,0.18126815392454332,0.12185109039268943,,0.0,0.5777472069368019,,,,,,,,0.13684493755817315,,0.0,0.24510627569101875,0.0,0.6440575564441747,0.9072578208743284,0.07314030377185847,0.0,0.33523249302356256,,0.5923357031385469,0.0,,0.005202086067290437,0.0,0.9739863140248752,0.4590909090909091,0.007001609894408754,,0.4834495277510752,,,0.9683594050026608,,,,0.08767956973429898,0.005686180751221025,0.0,,,0.4581918001573959,,0.9999999931926684,0.41400960602483744,0.1802153147563561,,0.32546690167101644,0.4412607449856734,,0.0,0.0,0.0,,,36.64463982705546
002517.XSHE,0.0,,,0.12071391429357947,,0.5448275862068965,0.5200088234900914,0.5029411764705883,0.1330369741615757,0.4860838180147625,,0.0055218904982428495,0.8744585147035991,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5179458615107779,0.5330264461086903,0.4955217443212494,,0.4937751703496196,0.17729020723627395,0.2484605220434216,0.09367250630505776,,0.3557148218727484,,0.6523817983794351,0.5721273876850315,,,0.05611625221277496,,,,0.033274384698629984,,,,0.2386405298095899,0.6013637291480942,0.7110106005122427,,,,,3.5958018341118235e-16,,0.8474226804123711,0.0,1.0,0.043372194682690816,,0.8224481270018109,,,,0.17496886763105096,,0.6644686786710563,0.29410770141179216,0.4434046551543725,0.8641416047337742,,0.0,0.3943563070231179,0.5290303887248001,,0.2105263157894737,0.14814814814814814,,,0.2810223129377216,0.3537348040944284,,0.0221365483924742,0.4448341423862455,2.2678227693050144e-16,,,,,0.3592770290102178,0.8299408134721882,0.0,,,,,0.0,0.03975081656087632,0.0,0.5104662226450994,0.652046783625731,0.0,,0.13477563761643127,,0.0,,0.8364831552999179,0.9320710497140954,0.6776926195699814,0.04965229538190621,,0.4255244357045522,,,,,0.4860190474856314,0.2204741379310345,,,0.0238642839847395,,0.258904069557973,0.0,0.5138807148496409,,0.12351618143196305,0.0,0.5425803161652218,,0.006156587490905459,0.010434770974237529,7.642956567058468e-17,,0.18126815392454332,0.10070048821287968,,0.0,0.41958479239619817,,,0.9776642279255215,,,,,0.1181774771625586,0.4762489513269937,,0.06841343670898198,0.0,0.6053974860201851,0.9033336997058294,0.12071456021628385,0.0,0.33751450180679066,,0.5836656840645048,0.0,,0.10097933792272604,0.0,0.9518004763959448,0.5000000000000001,0.016210747598384666,,0.4707652543131734,,,0.9758761481929082,,,,0.1345325480291645,0.1288530160093433,0.0,,,0.4581918001573959,,0.9999999931926684,0.4093369876109204,0.2858954516632691,,0.2949700030505372,0.5501432664756446,,0.0,0.0,9.877331713011881e-15,,,36.765750013478154
300134.XSHE,,,,0.09073807848774967,,0.5137931034482758,0.4581953734609028,0.4764705882352943,0.091577487844681,0.311658967444747,,0.047287089039971086,0.9053530082179794,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5052459830700402,0.4582054609338697,0.5009259165400531,,0.5055670807640357,0.216591369114474,0.3720204781733032,0.09367250630505776,,0.3557148218727497,0.09536296873546417,0.6819853083167906,0.57212738768503,,0.10123677164350378,0.0559172955906778,,,,0.033274384698629984,,,,,0.6013637291480921,0.4719163131750375,,,,,,,0.8329896907216495,7.25872769954001e-17,1.0,0.2693285469903257,,0.6518590725525693,,,,0.5718669043790324,,0.6644686786710731,0.29410770141177583,0.5707682122360076,0.8974203376081639,,0.0,0.3943563070231253,0.4291566332891153,,0.3229916897506925,,,,,0.5948495831398954,,0.015016265054955943,0.4225544841348664,,,,,,0.3592770290102178,0.7877461026661344,,,,,,0.0,0.2734054609450122,0.0,0.4605137963843954,0.7748538011695906,0.0,,0.0,,0.0,,0.8364831552999179,0.8707786979974278,0.8014773681357638,0.03346702221154429,,0.4171354868049077,,,,,0.4860190474856314,0.2204741379310345,,,0.01161518110138085,,0.3360817987141217,,0.5138807148496409,,0.09290266150193678,0.0,0.6936936936936936,,,,0.0,,0.18126815392454332,0.1262760699105328,,0.0,0.5935050858762716,,,,,,,,0.1418687287411638,0.4762489513269937,0.0,0.050336950603843696,0.0,0.6413799433165523,0.8995525701064558,0.0906353529159374,1.0,0.3564843278979627,,0.6694988728975202,0.0,,0.03890862264886824,0.0,0.9800455036893828,0.4757575757575758,0.005944485189215415,,0.4834495277510748,,,0.9679798224882564,,,,0.1070879210633901,0.036375889784753736,0.0,,,0.4581918001573959,,0.9999999931926684,0.4140096060267481,0.21907833284470474,,0.3134681218859099,0.4785100286532952,,0.0,0.0,3.750885460637423e-15,,,37.079565391157175
002512.XSHE,,,,0.10064845685620764,,0.5913793103448276,0.5564079482711752,0.5588235294117648,0.11259585763599746,0.7530025422985885,,0.06902157848063849,0.8951389103622046,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5093493734202782,0.2534701903975195,0.5004257021804724,,0.5060063426108617,0.24013740441262496,0.3145387123336722,0.09367250630505776,,0.3557148218727529,0.7730870712401057,0.6677918446481954,0.5721273876850266,,,0.05651416545696927,,,,0.033274384698629984,,,,0.2625022426421834,0.6013637291480931,0.3244712118689152,,,,,,,0.7690721649484537,6.185593537980109e-17,1.0,0.16351252529827284,,0.7082579027990531,,,,0.149115080891187,,0.6644686786710683,0.2941077014117803,0.545760425424732,0.9687235739936444,,0.0,0.3943563070231231,0.15973129737288655,,0.28771929824561404,,,,0.24266210680493056,0.3339164698131567,,0.002735436579313873,0.08618886499392718,,,,,,0.3592770290102178,0.7959218445781462,,,,,,0.0,0.16362074944698873,0.0,0.6641294005708845,0.6812865497076024,0.0,,0.032193107220008066,,,,0.8364831552999179,0.9341693547481902,0.7730252974232743,0.030752095960452062,,0.4171299518952562,,,,0.0,,0.2204741379310345,,,0.0038211919707507656,,0.3014367683490813,0.0,0.5138807148496409,0.001440794894735236,0.1030238660502312,0.0,0.6505849132714804,,,0.07131051214981618,0.0,,0.18126815392454332,0.12011519880658493,,0.0,0.6349424712356179,,,0.948012232415902,,,,,0.14356389651706158,0.4762489513269937,0.0,0.3164731259071073,0.0,0.6411244753286637,0.9116224925769758,0.10057990716625603,0.0,0.34168798488418073,,0.6148777527310557,0.0,,0.022393119685038942,0.0,0.9481297639306224,0.5621212121212121,0.06516512653700572,,0.4834495277510753,,,0.9709064250443432,,,,0.11667403358296995,0.02990321511352185,0.0,,,0.4581918001573959,,0.9999999931926684,0.4140096060229268,0.2411688904949238,,0.7986687794461578,0.5630372492836676,,0.0,0.0,7.501770921274848e-16,,,37.58605229706024
000566.XSHE,,,,0.06895971614718742,,0.503448275862069,0.5207485706391684,0.475,0.06918237595896634,0.4723075519328448,,0.022732124675665908,0.927798803505978,0.41111111111111104,0.3485088706034491,,3.71716774684794e-06,0.3535016536911564,,0.342837065120681,,0.5067393283970947,0.41389599394477206,0.5008392520593569,,0.4685509880108149,0.335169298247894,0.6905269004677425,0.09367250630505776,,0.35571482187274883,0.909468491694994,0.6389993897776166,0.5721273876850315,,,0.0559172955906778,,,,0.033274384698629984,,,,0.07314523740805165,0.6013637291480911,0.2897897540242703,,,,,,,,7.182362347219269e-17,1.0,0.8543453776040678,,0.527920902381284,,,,0.4479356640051839,,0.6644686786710671,0.2941077014117813,0.5774136583393494,0.9755371188743236,,0.0,0.3943563070231239,0.2811949787830122,,0.9964912280701756,,,,,0.525088368997609,,0.0017397044815646225,0.264952514726547,,,,,,0.3592770290102178,0.7847750769828342,,,,,,0.0,0.8796860945163015,0.0,0.6607992388201709,0.6549707602339182,0.0,0.0,0.16421310330599345,,0.0,,0.8364831552999179,0.9210895464841438,0.8168655963772463,0.02244683915208371,,0.2918447059084984,,,,,0.4860190474856314,0.2204741379310345,,,0.013397449526130294,0.7580001192568643,0.3213590284558966,,0.5138807148496409,,0.07066100212420344,0.0003320688617070904,0.5190321211263621,,,0.2047082906857728,0.0,,0.18126815392454332,0.12380570933798693,,0.0,,,,0.06880733944954129,,,,,0.13894686050097085,,0.0,0.3913568563588799,0.0,0.64555767392646,0.9065185964330889,0.06878188802017553,0.0,0.3394551884648065,,0.5637246401942083,0.0,,0.0024435934936517887,0.0,0.974060776007576,0.4878787878787879,0.03876177520812445,,0.483449527751075,,,0.9680239029327768,,,,0.08288970689639845,0.002655214129044889,0.0,,,0.4581918001573959,,0.9999999931926684,0.41400960602483744,0.17053365060101291,,0.25622394332779713,0.502865329512894,,0.0,0.0,0.0,,,37.63141243923722
